deploymentID,locationID,deploymentStart,deploymentEnd
R1-KS02,KS02,2024-09-07T13:00:00+0200,2024-10-06T15:14:18+0200
R1-KS03,KS03,2024-09-06T15:05:40+0200,2024-10-05T13:29:38+0200
R1-KS04,KS04,2024-09-06T13:00:00+0200,2024-10-06T14:20:34+0200
R1-KS07,KS07,2024-09-06T13:00:00+0200,2024-10-06T14:35:18+0200
R1-KS08,KS08,2024-09-06T11:45:04+0200,2024-10-05T16:58:22+0200
R1-KS10,KS10,2024-09-06T13:00:00+0200,2024-10-06T14:41:46+0200
R1-KS11,KS11,2024-09-06T13:00:00+0200,2024-10-06T14:38:06+0200
R1-KS12,KS12,2024-09-06T14:28:58+0200,2024-10-05T15:04:18+0200
R1-KS14,KS14,2024-09-05T14:22:16+0200,2024-10-05T17:18:22+0200
R1-KS15,KS15,2024-09-06T13:00:00+0200,2024-10-06T14:48:52+0200
R1-KS18,KS18,2024-09-06T13:00:00+0200,2024-10-06T15:08:50+0200
R1-KS19,KS19,2024-08-12T11:23:50+0200,2024-10-05T12:20:54+0200
R1-KS20,KS20,2024-08-12T12:03:52+0200,2024-10-05T11:18:22+0200
R1-KS21,KS21,2024-08-12T13:38:42+0200,2024-10-05T17:43:48+0200
R1-KS22,KS22,2024-08-12T11:07:32+0200,2024-10-05T12:06:18+0200
R1-KS23,KS23,2024-08-12T11:45:18+0200,2024-10-05T11:35:18+0200
R1-KS24,KS24,2024-08-12T13:54:32+0200,2024-10-05T17:52:54+0200
R1-KS27,KS27,2024-07-18T15:08:50+0200,2024-10-06T15:27:50+0200
