term,estimate,std.error,statistic,p.value,conf.low,conf.high
(Intercept),0.0140166827707311,0.2768064113684346,-15.416937097707846,1.259371995695222e-53,0.008266472895583276,0.024588375463586745
protocolTree-mounted bait,6.26435724070106,0.3778935387765424,4.855536810092369,1.2006104792462113e-6,3.0027270379963547,13.258297282291784
