protocol,sites,detected_sites,revisit_sites,independent_events,exact_trap_nights,reported_trap_nights
Ground-based lure,27,17,7,40,2828.1764814814815,2828
Tree-mounted bait,23,17,15,197,2023.3522800925925,2023
