protocol,site,start_date,site_end,trap_nights,marten_events,detected,events_per_100_trap_nights
Ground-based lure,KB01PM,2023-07-18T14:02:38Z,2023-11-02T10:01:36Z,105.84849537037037,1,TRUE,0.9447465422167209
Ground-based lure,KB02PM,2023-07-18T14:40:16Z,2023-11-02T10:32:58Z,105.78,0,FALSE,0
Ground-based lure,KB03PM,2023-07-18T07:56:52Z,2023-11-03T10:13:52Z,107.11219907407407,1,TRUE,0.9336004756175756
Ground-based lure,KB04PM,2023-07-19T09:14:52Z,2023-11-02T09:58:50Z,105.85956018518519,4,TRUE,3.778591175896262
Ground-based lure,KB05PM,2023-07-18T15:25:28Z,2023-11-02T11:05:52Z,106.60726851851852,0,FALSE,0
Ground-based lure,KB06PM,2023-07-18T10:50:32Z,2023-11-02T11:41:36Z,106.76819444444445,2,TRUE,1.8732170291038086
Ground-based lure,KB07PM,2023-07-18T12:04:10Z,2023-11-03T10:41:18Z,107.80166666666666,1,TRUE,0.9276294429585196
Ground-based lure,KB08PM,2023-07-20T09:08:30Z,2023-11-02T10:52:48Z,105.039375,1,TRUE,0.9520239434021766
Ground-based lure,KB09PM,2023-07-19T10:09:58Z,2023-11-02T12:19:08Z,105.77622685185185,0,FALSE,0
Ground-based lure,KB10PM,2023-07-19T10:41:46Z,2023-11-02T12:58:40Z,105.07960648148148,0,FALSE,0
Ground-based lure,KB11PM,2023-07-19T11:16:24Z,2023-11-03T12:12:58Z,106.7869212962963,0,FALSE,0
Ground-based lure,KB12PM,2023-07-18T13:10:32Z,2023-11-02T14:21:12Z,106.84831018518518,12,TRUE,11.230874853520925
Ground-based lure,KB13PM,2023-07-20T09:42:58Z,2023-11-02T11:31:08Z,105.03050925925926,0,FALSE,0
Ground-based lure,KB14PM,2023-07-20T10:24:26Z,2023-11-02T13:06:30Z,73.0419212962963,0,FALSE,0
Ground-based lure,KB15PM,2023-07-19T12:12:44Z,2023-11-02T13:24:14Z,106.02768518518519,2,TRUE,1.886299787179973
Ground-based lure,KB16PM,2023-07-19T13:05:36Z,2023-11-03T11:46:48Z,106.884375,1,TRUE,0.9355904452825775
Ground-based lure,KB17PM,2023-07-18T12:45:18Z,2023-11-02T14:44:44Z,106.78171296296296,5,TRUE,4.682449701602222
Ground-based lure,KB18PM,2023-07-20T11:05:36Z,2023-11-02T12:06:44Z,104.99027777777778,0,FALSE,0
