term,estimate,std.error,statistic,p.value,conf.low,conf.high
(Intercept),0.014017850709061521,0.27462368024930994,-15.539168752790442,1.8841140399821112e-54,0.008296868646221934,0.02446430981111509
protocolTree-mounted bait,5.723938231839682,0.3751617262016186,4.650413271675684,3.3127053306726116e-6,2.758952860275973,12.044436920582088
