protocol,detected_sites,mean_days,sd_days,median_days,se_days,ci_lower,ci_upper
Ground-based lure,17,38.21588916122004,30.493929067656165,33.00372685185185,7.3958641462375905,22.537357565290495,53.89442075714959
Tree-mounted bait,17,49.67487813180828,22.653554469088384,50.84189814814815,5.494293992454965,38.027495181723495,61.32226108189306
